Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-836.8832	-947.3755	110.4922	6.959539	2.093629	1.1746
6	-835.6041	-949.3009	113.6967	4.076744	2.153993	0.8127224
12	-842.3196	-956.7394	114.4198	4.080426	1.03776	0.9048839
18	-860.6783	-974.153	113.4747	4.653249	1.70688	0.6860394
24	-877.8203	-991.7268	113.9065	4.766895	1.04547	0.646248
30	-867.3026	-981.0541	113.7515	4.660246	1.387353	0.5279608
36	-854.819	-969.6713	114.8524	3.517167	1.197875	0.8859766
42	-837.9803	-953.1974	115.2171	3.07093	1.271037	0.9076124
48	-728.1918	-842.3264	114.1346	2.055299	1.344474	2.416276
54	-795.717	-911.7884	116.0714	2.327751	1.344474	0.6712272
60	-806.2388	-921.2426	115.0038	2.327751	2.006008	1.317206
66	-824.8325	-939.1697	114.3373	2.73834	3.242414	1.022079
72	-816.4693	-931.033	114.5637	3.550442	1.646279	0.3003694
78	-772.9607	-887.092	114.1313	3.550442	1.646279	1.215534
84	-754.4981	-868.3303	113.8322	1.622154	2.176814	2.534715
90	-757.769	-871.7154	113.9464	1.343042	0.8627859	3.238919
96	-767.7268	-882.1788	114.4521	1.343042	2.04214	2.368261
102	-787.9763	-903.1362	115.1599	0.9662207	1.480682	2.390403
108	-774.03	-886.8052	112.7753	1.935647	2.460778	2.899479
114	-837.5397	-952.7163	115.1766	2.832279	1.917654	0.3700983
120	-811.5658	-924.4243	112.8584	3.325687	1.88985	2.176927
126	-843.8221	-958.9664	115.1442	2.568255	2.44624	0.3619874
132	-807.1149	-920.4177	113.3028	3.50503	1.40671	1.984448
138	-845.9394	-955.721	109.7816	4.971714	2.608437	2.830297
144	-843.5626	-955.2875	111.7249	5.670643	2.608437	0.9777658
150	-831.4483	-941.0824	109.6341	7.077778	2.485108	1.593787
156	-866.1952	-981.3422	115.147	2.708181	1.908934	0.8862448
162	-882.7319	-997.2073	114.4754	2.840339	1.257876	1.718434
168	-849.1768	-964.0285	114.8517	2.222352	1.894833	1.56564
174	-847.8672	-960.3036	112.4364	5.627486	1.894833	0.4995072
180	-851.055	-965.2212	114.1662	3.31412	1.477599	1.472061
186	-852.9964	-966.4222	113.4258	4.167938	1.330852	1.472061
192	-878.7953	-992.1835	113.3882	4.31196	2.356092	0.7654842
198	-836.059	-947.3714	111.3125	5.183652	1.999327	1.927165
204	-810.0059	-923.4525	113.4466	2.683189	2.519467	1.986508
210	-815.9014	-930.8309	114.9294	2.10256	3.183913	1.085967
216	-805.979	-922.1454	116.1664	2.196203	0.9846664	1.095713
222	-794.273	-909.3362	115.0632	2.31553	2.229672	1.172802
228	-793.0878	-906.3882	113.3004	3.494687	2.281411	1.608889
234	-800.4862	-915.1654	114.6792	1.774353	2.475024	1.78097
240	-832.9803	-946.8862	113.9059	1.774353	5.184325	1.638191
246	-863.0899	-974.4923	111.4023	6.20636	2.60535	0.7164248
252	-847.8717	-962.9134	115.0417	3.217307	1.526868	0.6741591
258	-855.4563	-969.9105	114.4542	3.217307	2.452867	0.3214345
264	-873.148	-987.863	114.715	2.849345	1.941799	1.153496
270	-836.4558	-949.7918	113.336	4.635143	2.009644	0.6177408
276	-871.8513	-986.1126	114.2613	3.599266	2.234055	0.4361942
282	-889.9618	-1004.504	114.5423	2.173574	2.830962	1.470458
288	-848.4153	-961.3814	112.9661	3.497912	2.175193	1.881267
294	-913.5567	-1029.312	115.755	3.600116	0.5106707	0.5901807
300	-929.9763	-1041.949	111.9732	4.504937	0.6837417	2.653526
306	-875.5988	-988.3971	112.7983	4.504937	2.074054	1.308348
312	-877.1682	-990.592	113.4238	4.472371	2.184729	0.4948379
318	-843.6141	-957.1272	113.5131	3.399912	2.176774	1.563956
324	-877.6539	-992.1078	114.4539	3.131498	2.481872	0.8339921
330	-869.9025	-984.6315	114.729	3.131498	2.250724	0.5028906
336	-879.149	-993.9092	114.7602	2.419846	2.626981	1.171497
342	-886.2012	-999.0238	112.8226	1.251771	1.520077	3.607619
348	-897.6165	-1007.585	109.9685	2.523805	2.008258	4.331365
354	-879.1456	-989.9976	110.852	1.717957	1.878881	4.331365
360	-875.8247	-989.2331	113.4084	3.680556	1.331069	1.834394
366	-916.7935	-1031.564	114.7707	2.335137	1.310179	1.834394
372	-919.8325	-1033.51	113.6775	3.78945	3.0635	0.5772182
378	-902.7481	-1017.018	114.2703	3.501084	2.275626	0.7209187
384	-837.6103	-951.4185	113.8081	3.501084	2.488145	1.116296
390	-817.2438	-926.7	109.4562	3.231357	1.720346	4.322018
396	-893.9074	-1006.756	112.8489	4.412392	2.881729	0.9874581
402	-944.7287	-1058.151	113.4227	2.963332	6.396091	0.7304811
408	-864.4695	-979.2493	114.7798	2.001115	1.577517	1.917829
414	-851.103	-966.1139	115.0109	1.713767	1.571204	1.958712
420	-835.3251	-949.1171	113.7921	2.960459	1.532284	1.958712
426	-835.6443	-951.8308	116.1864	1.415876	0.6553693	1.958712
432	-768.6991	-883.6666	114.9675	1.194277	1.873522	2.197935
438	-780.4743	-894.0573	113.583	3.452599	2.622713	1.294746
444	-767.811	-883.2238	115.4128	1.404513	1.211956	2.083528
450	-778.7965	-893.9121	115.1157	2.23404	1.66931	1.468117
456	-778.5864	-896.2443	117.6579	1.559983	0.4978123	0.8542262
462	-760.1699	-876.7766	116.6067	2.247448	0.8404708	0.7109524
468	-790.2011	-904.0973	113.8962	3.459459	1.831353	1.38219
474	-793.3894	-907.7544	114.365	3.459459	2.24203	0.6566652
480	-820.151	-935.0357	114.8847	2.147481	3.769201	0.8567437
486	-782.5116	-895.9238	113.4122	4.430437	2.137467	0.7270098
492	-844.1195	-960.1304	116.0109	2.523567	1.147458	0.7270098
498	-831.575	-945.1482	113.5732	3.507528	2.194775	1.430604
504	-844.6194	-959.1759	114.5564	2.066342	2.042757	1.82357
510	-890.759	-1006.381	115.6217	1.583522	2.703499	1.117412
516	-874.1833	-985.5313	111.3481	2.264761	1.601645	3.840618
522	-916.6273	-1030.644	114.0163	2.448448	5.199315	0.994164
528	-844.0608	-957.98	113.9191	3.226972	1.676544	1.615231
534	-844.0895	-954.8078	110.7183	4.997167	4.938504	1.661936
540	-798.2306	-910.899	112.6684	2.522686	1.565021	2.928868
546	-832.9564	-946.659	113.7026	2.343729	3.749019	1.694091
552	-796.2411	-908.9693	112.7282	2.059732	3.109309	2.673743
558	-748.8492	-862.5263	113.6771	3.721832	3.17486	0.6397891
564	-766.0513	-882.3585	116.3072	2.306484	1.111685	0.6397891
570	-771.0271	-885.0951	114.0679	1.571197	3.457831	2.045275
576	-759.7369	-874.4825	114.7456	2.020991	3.289427	1.279623
582	-748.6585	-863.4584	114.8	3.368301	1.416336	0.9115689
588	-760.1287	-875.5943	115.4656	2.503499	1.034166	1.385062
594	-748.9547	-864.3787	115.4241	1.706642	1.567542	1.680368
600	-716.6552	-832.8241	116.1689	2.039639	1.567542	0.7123281
606	-730.1557	-846.2211	116.0654	2.039639	0.9758524	1.323348
612	-731.8166	-845.9759	114.1593	1.551179	6.334424	1.400957
618	-767.774	-883.0243	115.2503	1.196396	3.075456	1.592216
624	-773.5746	-888.0523	114.4777	2.51692	3.228104	1.103943
630	-819.5769	-935.0665	115.4895	2.186069	1.965541	1.038052
636	-823.4018	-938.5527	115.1509	2.782356	1.568085	1.038052
642	-830.9234	-942.3812	111.4578	3.097328	1.568085	3.306387
648	-847.8445	-960.7875	112.943	5.085069	1.661527	0.8699168
654	-874.2044	-987.0755	112.8711	2.307302	1.827913	2.830281
660	-887.1099	-1002.321	115.2109	2.03773	3.14573	0.8806294
666	-809.1535	-923.3131	114.1596	3.149746	1.938588	1.366776
672	-818.2494	-933.218	114.9686	2.328744	1.958646	1.366776
678	-839.1533	-955.3167	116.1634	2.67106	0.903377	0.4066762
684	-802.7862	-917.2716	114.4854	2.67106	3.640894	0.3111473
