Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-900.9428	-1014.542	113.599	2.728059	4.950861	1.185458
6	-894.8329	-1010.413	115.5803	2.130891	1.65449	1.185458
12	-849.222	-964.4309	115.2089	2.636416	2.193694	0.6673758
18	-859.6109	-974.7725	115.1616	2.371325	2.193694	1.05033
24	-884.7034	-997.1115	112.4081	3.402545	1.198044	2.727618
30	-908.7193	-1022.449	113.7293	2.469523	1.43263	2.36723
36	-929.203	-1042.914	113.7111	1.69484	2.814343	2.36723
42	-982.9331	-1097.661	114.7282	1.69484	0.2191852	3.210154
48	-963.1084	-1079.372	116.2637	1.703006	1.052421	1.37309
54	-878.2684	-988.7799	110.5116	6.950332	1.685593	1.37309
60	-867.6978	-980.892	113.1942	3.193516	1.70966	2.119103
66	-884.1994	-998.6767	114.4773	3.193516	1.40465	1.367623
72	-906.1775	-1021.354	115.1762	2.980867	1.708011	0.3948432
78	-895.3992	-1008.852	113.4524	4.164996	1.708011	1.234777
84	-906.738	-1019.283	112.5446	5.028487	2.613511	0.3045241
90	-906.7498	-1019.577	112.8272	4.476717	1.308618	1.697125
96	-897.8086	-1010.725	112.9166	5.016028	2.118698	0.5079138
102	-871.2487	-983.381	112.1323	5.104066	1.275773	1.763645
108	-847.0095	-961.7599	114.7504	3.065253	1.727926	1.046171
114	-862.459	-977.2761	114.8171	4.091102	0.8527273	0.4690473
120	-851.2629	-965.7346	114.4716	3.27889	1.517022	1.23442
126	-870.4613	-984.4325	113.9711	3.552848	2.833977	0.3546807
132	-892.8193	-1004.656	111.8363	3.044682	3.551873	2.508901
138	-885.5826	-1000.966	115.3829	2.580619	2.011998	0.6333366
144	-965.963	-1080.137	114.1741	1.634721	6.854096	1.227833
150	-886.9179	-995.184	108.2661	4.01389	1.520478	4.629328
156	-903.9959	-1014.923	110.9268	4.094062	1.057665	3.278633
162	-956.8604	-1069.131	112.2702	3.248261	4.236766	1.944736
168	-906.2969	-1019.936	113.6387	2.335768	4.074236	1.665915
174	-920.0555	-1035.54	115.4845	3.260605	0.9418382	0.7084697
180	-887.8763	-1002.177	114.3011	3.752954	1.909061	0.5242105
186	-891.2749	-1005.451	114.1761	3.262616	3.004212	0.7008695
192	-884.7741	-999.3248	114.5508	3.262616	2.285033	0.6301165
198	-888.3587	-1003.464	115.1057	3.111187	1.026947	1.187881
204	-851.1953	-966.1717	114.9764	2.488111	2.044481	1.187881
210	-870.7294	-983.8646	113.1352	4.063811	2.48981	1.212189
216	-882.0214	-996.7019	114.6806	4.063811	0.9941864	0.4170445
222	-841.1695	-956.2922	115.1227	2.734505	0.9941864	1.500963
228	-837.4826	-951.8878	114.4051	3.012591	3.153114	0.4001238
234	-874.3869	-987.0381	112.6512	4.635679	3.102873	0.8563389
240	-885.0717	-997.7196	112.6479	2.618042	1.652401	2.846848
246	-893.5961	-1006.583	112.9869	2.959715	3.302704	1.879106
252	-898.1932	-1013.29	115.0963	2.959715	0.9941995	1.347667
258	-861.1203	-974.5471	113.4268	4.209217	1.36624	1.418119
264	-883.5287	-996.4084	112.8797	4.002503	2.844386	1.336588
270	-852.3314	-967.1739	114.8426	3.070971	2.0534	0.3504144
276	-880.8316	-995.1578	114.3261	3.070971	2.804892	0.2502525
282	-821.1711	-935.8969	114.7257	3.509675	1.463733	0.7857878
288	-796.9126	-912.3761	115.4635	2.628239	1.665792	0.7857878
294	-864.6714	-979.3227	114.6513	1.668249	3.44516	1.577707
300	-819.2726	-933.2939	114.0212	3.637954	1.091554	1.577707
306	-849.1052	-959.7908	110.6856	1.583572	4.201555	3.926368
312	-903.4584	-1018.605	115.147	1.173437	1.479514	2.267239
318	-859.6234	-971.2937	111.6703	3.038325	5.327409	2.267239
324	-831.9423	-946.0817	114.1394	2.918978	1.725749	1.65485
330	-821.2736	-934.0758	112.8022	4.280171	2.118107	1.461803
336	-844.2089	-957.6013	113.3925	4.140364	1.759185	0.1283575
342	-813.5545	-926.8447	113.2902	3.902592	2.229756	1.327874
348	-848.9653	-964.3367	115.3714	1.895404	2.095482	1.327874
354	-836.21	-950.6027	114.3928	2.418713	2.128302	1.65706
360	-847.2827	-960.4484	113.1657	4.194068	1.236442	1.700136
366	-868.0464	-983.5578	115.5114	2.978703	1.236442	0.6675359
372	-834.3268	-948.4935	114.1667	1.952055	0.810221	2.777422
378	-825.1111	-937.1387	112.0276	3.247612	1.812039	2.777422
384	-891.1412	-1005.946	114.8045	1.813241	1.812039	1.922142
390	-923.409	-1035.31	111.901	2.740206	3.54574	2.65894
396	-860.0959	-975.5688	115.4729	2.60695	1.058644	1.277361
402	-847.8344	-962.0541	114.2197	3.421261	2.418266	0.2847053
408	-864.3964	-978.4333	114.0368	3.346697	2.936555	0.8237361
414	-928.7833	-1042.382	113.599	2.721482	6.703598	0.725039
420	-849.549	-962.3999	112.8509	1.540732	2.623081	3.04411
426	-880.1566	-993.3729	113.2163	4.116855	3.354743	0.6263708
432	-879.6455	-994.462	114.8165	3.075389	1.535542	1.098853
438	-869.2695	-981.5866	112.3171	5.030144	2.724059	0.2130607
444	-875.8481	-989.8352	113.9871	3.193538	2.703096	0.1609399
450	-859.8256	-974.1946	114.369	3.830889	1.682156	0.5125008
456	-867.0224	-980.2249	113.2025	1.80191	1.393378	3.117091
462	-894.4589	-1010.367	115.9082	2.190328	1.393378	1.003139
468	-941.5708	-1055.753	114.1823	1.202634	1.393378	2.888818
474	-894.4804	-1007.653	113.1727	2.846779	1.482131	2.456911
480	-882.6543	-996.7341	114.0799	3.378199	2.396708	1.019354
486	-891.6822	-1006.53	114.8482	2.609825	2.396708	1.019354
492	-924.2213	-1038.34	114.1185	3.48744	2.51789	0.2946962
498	-877.4312	-990.9185	113.4873	4.00087	2.51789	0.2302928
504	-876.5259	-989.87	113.3441	5.244659	1.137263	0.3797453
510	-873.3985	-986.7224	113.3239	5.086753	1.373492	0.5864983
516	-888.8688	-1003.167	114.298	3.351703	2.641724	0.4184633
522	-907.5942	-1021.907	114.3126	3.351703	2.122923	0.9583556
528	-926.1867	-1038.976	112.7894	1.814516	1.712367	3.219207
534	-897.1149	-1010.473	113.3576	4.657106	1.476391	1.023668
540	-887.0527	-1001.465	114.4127	3.296455	1.476391	1.29336
546	-890.7278	-1005.671	114.943	2.63517	1.660863	1.29336
552	-884.5489	-997.8418	113.2929	4.610721	2.026058	0.7306655
558	-885.4223	-998.2761	112.8537	4.610721	2.010055	1.205128
